user,project,snr,records,mean_fraction_audio_annotation_true,mean_fraction_review_annotation_true,average_matched_word_count,normalized_matched_word_count
1,quick,0,1,0.2,0.2,1.0,0.2
1,quick,5,1,1.0,1.0,5.0,1.0
1,quick,10,1,1.0,1.0,5.0,1.0
1,quick,15,1,1.0,1.0,5.0,1.0
1,quick,20,1,1.0,1.0,5.0,1.0
1,quick,25,1,1.0,1.0,5.0,1.0
2,quick,0,2,0.0,0.0,0.0,0.0
2,quick,5,2,1.0,1.0,4.5,0.9
2,quick,10,2,0.9,0.8,4.0,0.8
2,quick,15,2,1.0,1.0,4.5,0.9
2,quick,20,2,1.0,1.0,5.0,1.0
2,quick,25,2,1.0,0.5,5.0,1.0
5,quick,0,1,0.0,0.0,0.0,0.0
5,quick,5,1,0.0,0.0,0.0,0.0
5,quick,10,1,0.0,0.0,0.0,0.0
5,quick,15,1,0.0,0.0,0.0,0.0
5,quick,20,1,0.0,0.0,0.0,0.0
5,quick,25,1,0.0,0.0,0.0,0.0
7,quick,0,1,0.0,0.0,0.0,0.0
7,quick,5,1,0.0,0.0,0.0,0.0
7,quick,10,1,0.0,0.0,0.0,0.0
7,quick,15,1,0.0,0.0,0.0,0.0
7,quick,20,1,0.0,0.0,0.0,0.0
7,quick,25,1,0.0,0.0,0.0,0.0
8,quick,0,1,0.0,0.0,0.0,0.0
8,quick,5,1,0.0,0.0,0.0,0.0
8,quick,10,1,0.0,0.0,0.0,0.0
8,quick,15,1,0.0,0.0,0.0,0.0
8,quick,20,1,0.0,0.0,0.0,0.0
8,quick,25,1,0.0,0.0,0.0,0.0
9,quick,5,1,0.0,0.0,0.0,0.0
9,quick,10,1,0.0,0.0,0.0,0.0
9,quick,15,1,0.0,0.0,0.0,0.0
9,quick,20,1,0.0,0.0,0.0,0.0
9,quick,25,1,0.0,0.0,0.0,0.0
10,quick,5,1,0.0,0.0,0.0,0.0
10,quick,10,1,0.0,0.0,0.0,0.0
10,quick,15,1,0.0,0.0,0.0,0.0
10,quick,20,1,0.0,0.0,0.0,0.0
10,quick,25,1,0.0,0.0,0.0,0.0
11,quick,5,1,0.0,0.0,0.0,0.0
11,quick,10,1,0.0,0.0,0.0,0.0
11,quick,15,1,0.0,0.0,0.0,0.0
11,quick,20,1,0.0,0.0,0.0,0.0
11,quick,25,1,0.0,0.0,0.0,0.0
12,quick,5,1,0.0,0.0,0.0,0.0
12,quick,10,1,0.0,0.0,0.0,0.0
12,quick,15,1,0.0,0.0,0.0,0.0
12,quick,20,1,0.0,0.0,0.0,0.0
12,quick,25,1,0.0,0.0,0.0,0.0
13,quick,5,1,0.0,0.0,0.0,0.0
13,quick,10,1,0.0,0.0,0.0,0.0
13,quick,15,1,0.0,0.0,0.0,0.0
13,quick,20,1,0.0,0.0,0.0,0.0
13,quick,25,1,0.0,0.0,0.0,0.0
14,quick,5,1,0.0,0.0,0.0,0.0
14,quick,10,1,0.0,0.0,0.0,0.0
14,quick,15,1,0.0,0.0,0.0,0.0
14,quick,20,1,0.0,0.0,0.0,0.0
14,quick,25,1,0.0,0.0,0.0,0.0
61,quick,0,1,0.0,0.0,0.0,0.0
